AER Period,AER Close,OAK Period,OAK Close
1/11/2016,36.7,1/11/2016,40.9
1/8/2016,36.71,1/8/2016,41.98
1/7/2016,37.9,1/7/2016,44.42
1/6/2016,39.95,1/6/2016,46.59
1/5/2016,40.99,1/5/2016,47.93
1/4/2016,41.77,1/4/2016,48.28
12/31/2015,43.16,12/31/2015,47.72
12/30/2015,42.98,12/30/2015,48.19
12/29/2015,43.51,12/29/2015,48.1
12/28/2015,42.75,12/28/2015,47.83
12/24/2015,43.15,12/24/2015,48.76
12/23/2015,43.04,12/23/2015,49.03
12/22/2015,41.81,12/22/2015,47.15
12/21/2015,41.41,12/21/2015,47.05
12/18/2015,40.14,12/18/2015,46.53
12/17/2015,40.16,12/17/2015,47.41
12/16/2015,40.85,12/16/2015,47.64
12/15/2015,40.17,12/15/2015,47.72
12/14/2015,39.52,12/14/2015,46.65
12/11/2015,40.37,12/11/2015,45.82
12/10/2015,41.54,12/10/2015,47.96
12/9/2015,41.31,12/9/2015,47.38
12/8/2015,42.12,12/8/2015,46.82
12/7/2015,44.49,12/7/2015,47.84
12/4/2015,45.25,12/4/2015,48.53
12/3/2015,44.53,12/3/2015,48.27
12/2/2015,45.28,12/2/2015,48.67
12/1/2015,45.77,12/1/2015,48.63
11/30/2015,45.44,11/30/2015,48.83
11/27/2015,44.23,11/27/2015,48.78
11/25/2015,43.72,11/25/2015,48.8
11/24/2015,43.73,11/24/2015,48.67
11/23/2015,43.9,11/23/2015,48.77
11/20/2015,43.24,11/20/2015,48.85
11/19/2015,42.83,11/19/2015,49.35
11/18/2015,42.8,11/18/2015,50.16
11/17/2015,41.56,11/17/2015,50.46
11/16/2015,41.78,11/16/2015,50.32
11/13/2015,40.53,11/13/2015,49.2
11/12/2015,39.6,11/12/2015,49.99
11/11/2015,40.86,11/11/2015,51.1
11/10/2015,40.3,11/10/2015,50.37
11/9/2015,41.22,11/9/2015,51.64
11/6/2015,42.52,11/6/2015,51.17
11/5/2015,41.04,11/5/2015,51.16
11/4/2015,41.28,11/4/2015,50.82
11/3/2015,41.46,11/3/2015,51.69
11/2/2015,42.05,11/2/2015,52.01
10/30/2015,41.5,10/30/2015,49.86
10/29/2015,40.98,10/29/2015,50.15
10/28/2015,40.42,10/28/2015,49.27
10/27/2015,39.69,10/27/2015,48.55
10/26/2015,41,10/26/2015,48.86
10/23/2015,41.34,10/23/2015,49
10/22/2015,40.37,10/22/2015,48.26
10/21/2015,39.78,10/21/2015,47.22
10/20/2015,40.26,10/20/2015,48.21
10/19/2015,39.83,10/19/2015,48
10/16/2015,39.31,10/16/2015,47.97
10/15/2015,40.56,10/15/2015,47.61
10/14/2015,39.92,10/14/2015,48.04
10/13/2015,42.83,10/13/2015,47.89
10/12/2015,43.24,10/12/2015,48.5
10/9/2015,43.06,10/9/2015,49
10/8/2015,43.18,10/8/2015,49.35
10/7/2015,42.73,10/7/2015,49.6
10/6/2015,41.67,10/6/2015,49.34
10/5/2015,41.84,10/5/2015,48.98
10/2/2015,40.49,10/2/2015,47.11
10/1/2015,38.45,10/1/2015,47
9/30/2015,38.24,9/30/2015,49.5
9/29/2015,37.71,9/29/2015,50.2
9/28/2015,38.29,9/28/2015,50.45
9/25/2015,40.96,9/25/2015,51.22
9/24/2015,41.4,9/24/2015,51.26
9/23/2015,41.86,9/23/2015,51.45
9/22/2015,42.36,9/22/2015,51.26
9/21/2015,42.99,9/21/2015,51.23
9/18/2015,42.41,9/18/2015,50.89
9/17/2015,43.28,9/17/2015,51.16
9/16/2015,42.93,9/16/2015,50.86
9/15/2015,42.57,9/15/2015,50.87
9/14/2015,41.76,9/14/2015,50.06
9/11/2015,42.21,9/11/2015,51.05
9/10/2015,42.21,9/10/2015,50.87
9/9/2015,41.65,9/9/2015,50.28
9/8/2015,42.36,9/8/2015,51.27
9/4/2015,40.47,9/4/2015,50.28
9/3/2015,41.24,9/3/2015,50.84
9/2/2015,41.05,9/2/2015,51.28
9/1/2015,40.49,9/1/2015,51.68
8/31/2015,42.04,8/31/2015,53
8/28/2015,42.26,8/28/2015,54.22
8/27/2015,41.77,8/27/2015,54.21
8/26/2015,40.84,8/26/2015,54
8/25/2015,39.32,8/25/2015,52.74
8/24/2015,40.33,8/24/2015,53
8/21/2015,43.3,8/21/2015,53.05
8/20/2015,44.75,8/20/2015,53.46
8/19/2015,46.71,8/19/2015,54.5
8/18/2015,48.01,8/18/2015,55.12
8/17/2015,48.49,8/17/2015,55.42
8/14/2015,47.27,8/14/2015,55.16
8/13/2015,47.05,8/13/2015,54.36
8/12/2015,47.47,8/12/2015,54.93
8/11/2015,47.39,8/11/2015,55.25
8/10/2015,48.22,8/10/2015,54.5
8/7/2015,46.54,8/7/2015,53.34
8/6/2015,46.22,8/6/2015,53.03
8/5/2015,46.75,8/5/2015,55.36
8/4/2015,46.8,8/4/2015,55.21
8/3/2015,46.66,8/3/2015,55.3
7/31/2015,46.84,7/31/2015,55.19
7/30/2015,46.13,7/30/2015,55.08
7/29/2015,46.19,7/29/2015,54.5
7/28/2015,44.67,7/28/2015,53.4
7/27/2015,44.33,7/27/2015,52.95
7/24/2015,45.29,7/24/2015,53.85
7/23/2015,46.02,7/23/2015,54.46
